F11.2;TBL  MENT  DUS A OPIACES   SYND  DE DEPENDANCE
F11.20;DÉPENDANCE AUX OPIACÉS ABSTINENT
F11.200;DÉPENDANCE AUX OPIACÉS ABSTINENT RÉMISSION RÉCENTE
F11.201;DÉPENDANCE AUX OPIACÉS ABSTINENT RÉMISSION PART
F11.202;DÉPENDANCE AUX OPIACÉS ABSTINENT RÉMISSION CPLT
F11.21;DÉPENDANCE AUX OPIACÉS ABSTINENT +ENVIR PROTÉGÉ
F11.22;DÉPENDANCE AUX OPIACÉS RÉGIME MAINTENANCE SUBSTIT SURVEILLÉ
F11.23;DÉPENDANCE AUX OPIACÉS ABSTINENT +TRAITT AVERSIF
F11.24;DÉPENDANCE AUX OPIACÉS UTIL ACTUELLE
F11.240;DÉPENDANCE AUX OPIACÉS UTIL ACTUELLE SANS SYMPT PHYS
F11.241;DÉPENDANCE AUX OPIACÉS UTIL ACTUELLE +SYMPT PHYS
F11.25;DÉPENDANCE AUX OPIACÉS UTIL CONTINUE
F11.26;DÉPENDANCE AUX OPIACÉS UTIL ÉPISOD
F12.2;TBL  MENT  DUS A DERIVES DU CANNABIS   SYND  DE DEPENDANCE
F12.20;DÉPENDANCE CANNABIS ABSTINENT
F12.200;DÉPENDANCE CANNABIS ABSTINENT RÉMISSION PART
F12.201;DÉPENDANCE CANNABIS ABSTINENT RÉMISSION RÉCENTE
F12.202;DÉPENDANCE CANNABIS ABSTINENT RÉMISSION CPLT
F12.21;DÉPENDANCE CANNABIS ABSTINENT +ENVIR PROTÉGÉ
F12.22;DÉPENDANCE CANNABIS RÉGIME MAINTENANCE SUBSTIT SURVEILLÉ
F12.23;DÉPENDANCE CANNABIS ABSTINENT +TRAITT AVERSIF
F12.24;DÉPENDANCE CANNABIS UTIL ACTUELLE
F12.240;DÉPENDANCE CANNABIS UTIL ACTUELLE SANS SYMPT PHYS
F12.241;DÉPENDANCE CANNABIS UTIL ACTUELLE +SYMPT PHYS
F12.25;DÉPENDANCE CANNABIS UTIL CONTINUE
F12.26;DÉPENDANCE CANNABIS UTIL ÉPISOD
