F11.0;TBL  MENT  DUS A OPIACES   INTOX  AIG 
F11.00;TBL MENT DUS À OPIACÉS   INTOX AIG SANS COMPLIC
F11.01;TBL MENT DUS À OPIACÉS   INTOX AIG +TRAUMA
F11.02;TBL MENT DUS À OPIACÉS   INTOX AIG +AUTRES COMPLIC MÉD
F11.03;TBL MENT DUS À OPIACÉS   INTOX AIG +DÉLIRIUM
F11.04;TBL MENT DUS À OPIACÉS   INTOX AIG +DISTORSION DES PERCEPTIONS
F11.05;TBL MENT DUS À OPIACÉS   INTOX AIG +COMA
F11.06;TBL MENT DUS À OPIACÉS   INTOX AIG +CONVULSIONS
F11.07;TBL MENT DUS À OPIACÉS   INTOX PATHO
F11.1;TBL  MENT  DUS A OPIACES   UTIL  NOCIVE
F12.0;TBL  MENT  DUS A DERIVES DU CANNABIS   INTOX  AIG 
F12.00;TBL MENT DUS À CANNABIS   INTOX AIG SANS COMPLIC
F12.01;TBL MENT DUS À CANNABIS   INTOX AIG +TRAUMA
F12.02;TBL MENT DUS À CANNABIS   INTOX AIG +AUTRES COMPLIC MÉD
F12.03;TBL MENT DUS À CANNABIS   INTOX AIG +DÉLIRIUM
F12.04;TBL MENT DUS À CANNABIS   INTOX AIG +DISTORSION DES PERCEPTIONS
F12.05;TBL MENT DUS À CANNABIS   INTOX AIG +COMA
F12.06;TBL MENT DUS À CANNABIS   INTOX AIG +CONVULSIONS
F12.07;TBL MENT DUS À CANNABIS   INTOX PATHO
F12.1;TBL  MENT  DUS A DERIVES DU CANNABIS   UTIL  NOCIVE
F13.0;TBL  MENT  DUS A SEDATIFS  HYPNOT    INTOX  AIG 
F13.00;TBL MENT DUS À SÉDATIFS  HYPNOT   INTOX AIG SANS COMPLIC
F13.01;TBL MENT DUS À SÉDATIFS  HYPNOT   INTOX AIG +TRAUMA
F13.02;TBL MENT DUS À SÉDATIFS  HYPNOT   INTOX AIG +AUTRES COMPLIC MÉD
F13.03;TBL MENT DUS À SÉDATIFS  HYPNOT   INTOX AIG +DÉLIRIUM
F13.04;TBL MENT PAR SÉDATIFS  HYPNOT   INTOX AIG +DISTORSION DES PERCEPTIONS
F13.05;TBL MENT DUS À SÉDATIFS  HYPNOT   INTOX AIG +COMA
F13.06;TBL MENT DUS À SÉDATIFS  HYPNOT   INTOX AIG +CONVULSIONS
F13.07;TBL MENT DUS À SÉDATIFS  HYPNOT   INTOX PATHO
F13.1;TBL  MENT  DUS A SEDATIFS  HYPNOT    UTIL  NOCIVE
F14.0;TBL  MENT  DUS A COCAINE   INTOX  AIG 
F14.00;TBL MENT DUS À COCAÏNE   INTOX AIG SANS COMPLIC
F14.01;TBL MENT DUS À COCAÏNE   INTOX AIG +TRAUMA
F14.02;TBL MENT DUS À COCAÏNE   INTOX AIG +AUTRES COMPLIC MÉD
F14.03;TBL MENT DUS À COCAÏNE   INTOX AIG +DÉLIRIUM
F14.04;TBL MENT DUS À COCAÏNE   INTOX AIG +DISTORSION DES PERCEPTIONS
F14.05;TBL MENT DUS À COCAÏNE   INTOX AIG +COMA
F14.06;TBL MENT DUS À COCAÏNE   INTOX AIG +CONVULSIONS
F14.07;TBL MENT DUS À COCAÏNE   INTOX PATHO
F14.1;TBL  MENT  DUS A COCAINE   UTIL  NOCIVE
F15.0;TBL  MENT  DUS A STIMUL  NCA    INTOX  AIG 
F15.00;TBL MENT DUS À STIMUL NCA   INTOX AIG SANS COMPLIC
F15.01;TBL MENT DUS À STIMUL NCA   INTOX AIG +TRAUMA
F15.02;TBL MENT DUS À STIMUL NCA   INTOX AIG +AUTRES COMPLIC MÉD
F15.03;TBL MENT DUS À STIMUL NCA   INTOX AIG +DÉLIRIUM
F15.04;TBL MENT DUS À STIMUL NCA   INTOX AIG +DISTORSION DES PERCEPTIONS
F15.05;TBL MENT DUS À STIMUL NCA   INTOX AIG +COMA
F15.06;TBL MENT DUS À STIMUL NCA   INTOX AIG +CONVULSIONS
F15.07;TBL MENT DUS À STIMUL NCA   INTOX PATHO
F15.1;TBL  MENT  DUS A STIMUL  NCA    UTIL  NOCIVE
F16.0;TBL  MENT  DUS A HALLUC    INTOX  AIG 
F16.00;TBL MENT DUS À HALLUC   INTOX AIG SANS COMPLIC
F16.01;TBL MENT DUS À HALLUC   INTOX AIG +TRAUMA
F16.02;TBL MENT DUS À HALLUC   INTOX AIG +AUTRES COMPLIC MÉD
F16.03;TBL MENT DUS À HALLUC   INTOX AIG +DÉLIRIUM
F16.04;TBL MENT DUS À HALLUC   INTOX AIG +DISTORSION DES PERCEPTIONS
F16.05;TBL MENT DUS À HALLUC   INTOX AIG +COMA
F16.06;TBL MENT DUS À HALLUC   INTOX AIG +CONVULSIONS
F16.07;TBL MENT DUS À HALLUC   INTOX PATHO
F16.1;TBL  MENT  DUS A HALLUC    UTIL  NOCIVE
F17.0;TBL  MENT  DUS A TABAC   INTOX  AIG 
F17.00;TBL MENT DUS À TABAC   INTOX AIG SANS COMPLIC
F17.01;TBL MENT DUS À TABAC   INTOX AIG +TRAUMA
F17.02;TBL MENT DUS À TABAC   INTOX AIG +AUTRES COMPLIC MÉD
F17.03;TBL MENT DUS À TABAC   INTOX AIG +DÉLIRIUM
F17.04;TBL MENT DUS À TABAC   INTOX AIG +DISTORSION DES PERCEPTIONS
F17.05;TBL MENT DUS À TABAC   INTOX AIG +COMA
F17.06;TBL MENT DUS À TABAC   INTOX AIG +CONVULSIONS
F17.07;TBL MENT DUS À TABAC   INTOX PATHO
F17.1;TBL  MENT  DUS A TABAC   UTIL  NOCIVE
F18.0;TBL  MENT  DUS A SOLVANTS VOLATILS   INTOX  AIG 
F18.00;TBL MENT DUS À SOLVANTS VOLATILS   INTOX AIG SANS COMPLIC
F18.01;TBL MENT DUS À SOLVANTS VOLATILS   INTOX AIG +TRAUMA
F18.02;TBL MENT DUS À SOLVANTS VOLATILS   INTOX AIG +AUTRES COMPLIC MÉD
F18.03;TBL MENT DUS À SOLVANTS VOLATILS   INTOX AIG +DÉLIRIUM
F18.04;TBL MENT PAR SOLVANTS VOLATILS   INTOX AIG +DISTORSION DES PERCEPTIONS
F18.05;TBL MENT DUS À SOLVANTS VOLATILS   INTOX AIG +COMA
F18.06;TBL MENT DUS À SOLVANTS VOLATILS   INTOX AIG +CONVULSIONS
F18.07;TBL MENT DUS À SOLVANTS VOLATILS   INTOX PATHO
F18.1;TBL  MENT  DUS A SOLVANTS VOLATILS   UTIL  NOCIVE
F19.0;TBL  MENT  DUS A DROGUES MULT  OU NCA    INTOX  AIG 
F19.00;TBL MENT DUS À DROGUES MULT +NCA   INTOX AIG SANS COMPLIC
F19.01;TBL MENT DUS À DROGUES MULT +NCA   INTOX AIG +TRAUMA
F19.02;TBL MENT DUS À DROGUES MULT +NCA   INTOX AIG +AUTRES COMPLIC MÉD
F19.03;TBL MENT DUS À DROGUES MULT +NCA   INTOX AIG +DÉLIRIUM
F19.04;TBL MENT PAR DROGUES MULT +NCA   INTOX AIG +DISTORSION DES PERCEPTIONS
F19.05;TBL MENT DUS À DROGUES MULT +NCA   INTOX AIG +COMA
F19.06;TBL MENT DUS À DROGUES MULT +NCA   INTOX AIG +CONVULSIONS
F19.07;TBL MENT DUS À DROGUES MULT +NCA   INTOX PATHO
F19.1;TBL  MENT  DUS A DROGUES MULT  OU NCA    UTIL  NOCIVE
R78.1;PRESENCE D OPIACE DANS LE SANG
R78.2;PRESENCE DE COCAINE DANS LE SANG
R78.3;PRESENCE D HALLUC  DANS LE SANG
R78.4;PRESENCE DANS LE SANG DE SUBST  ENTRAINANT UNE DEPENDANCE  NCA
R78.5;PRESENCE D UNE SUBST  PSYCHOTROPE DANS LE SANG
