F10.5;TBL  MENT  DUS A ALCOOL   TBL  PSYCHOT 
F10.50;TBL PSYCHOT ALLURE SCHIZOPHR DÛ À ALCOOL
F10.51;TBL PSYCHOT +IDÉES DÉLIRES DÛ À ALCOOL
F10.52;TBL PSYCHOT +HALLUCINATIONS DÛ À ALCOOL
F10.53;TBL PSYCHOT +SYMPT POLYMORPHES DÛ À ALCOOL
F10.54;TBL PSYCHOT +SYMPT DÉPRESSIFS DÛ À ALCOOL
F10.55;TBL PSYCHOT +SYMPT MANIAQUES DÛ À ALCOOL
F10.56;TBL PSYCHOT MIXTE DÛ À ALCOOL
F10.6;TBL  MENT  DUS A ALCOOL   SYND  AMNESIQUE
F10.7;TBL  MENT  DUS A ALCOOL   TBL  RESIDUEL OU PSYCHOT 
F10.70;FLASHBACKS DUS À ALCOOL
F10.71;TBL PERSO COMPORT RÉSIDUEL TARDIF DÛ À ALCOOL
F10.72;TBL THYMIQUE RÉSIDUEL TARDIF DÛ À ALCOOL
F10.73;DÉMENCE DUE À ALCOOL
F10.74;AUTRE DÉFIC COGNITIF PERSISTANT TARDIF DÛ À ALCOOL
F10.75;TBL PSYCHOT À DÉBUT TARDIF DÛ À ALCOOL
F10.8;TBL  MENT  NCA  DUS A ALCOOL
F10.9;TBL  MENT  SAI  DUS A ALCOOL
F11.3;TBL  MENT  DUS A OPIACES   SYND  DE SEVRAGE
F11.30;SYND SEVRAGE DES OPIACÉS SANS COMPLIC
F11.31;SYND SEVRAGE DES OPIACÉS +CONVULSIONS
F11.4;TBL  MENT  DUS A OPIACES   SYND  DE SEVR  + DELIRIUM
F11.40;SYND SEVRAGE DES OPIACÉS +DÉLIRIUM SANS CONVULSION
F11.41;SYND SEVRAGE DES OPIACÉS +DÉLIRIUM +CONVULSIONS
F11.5;TBL  MENT  DUS A OPIACES   TBL  PSYCHOT 
F11.50;TBL PSYCHOT ALLURE SCHIZOPHR DÛ AUX OPIACÉS
F11.51;TBL PSYCHOT +IDÉES DÉLIRES DÛ AUX OPIACÉS
F11.52;TBL PSYCHOT +HALLUCINATIONS DÛ AUX OPIACÉS
F11.53;TBL PSYCHOT +SYMPT POLYMORPHES DÛ AUX OPIACÉS
F11.54;TBL PSYCHOT +SYMPT DÉPRESSIFS DÛ AUX OPIACÉS
F11.55;TBL PSYCHOT +SYMPT MANIAQUES DÛ AUX OPIACÉS
F11.56;TBL PSYCHOT MIXTE DÛ AUX OPIACÉS
F11.6;TBL  MENT  DUS A OPIACES   SYND  AMNESIQUE
F11.7;TBL  MENT  DUS A OPIACES   TBL  RESIDUEL OU PSYCHOT 
F11.70;FLASHBACKS DUS AUX OPIACÉS
F11.71;TBL PERSO COMPORT RÉSIDUEL TARDIF DÛ AUX OPIACÉS
F11.72;TBL THYMIQUE RÉSIDUEL TARDIF DÛ AUX OPIACÉS
F11.73;DÉMENCE DUE AUX OPIACÉS
F11.74;AUTRE DÉFIC COGNITIF PERSISTANT TARDIF DÛ AUX OPIACÉS
F11.75;TBL PSYCHOT À DÉBUT TARDIF DÛ AUX OPIACÉS
F11.8;TBL  MENT  NCA  DUS A OPIACES
F11.9;TBL  MENT  SAI  DUS A OPIACES
F12.3;TBL  MENT  DUS A DERIVES DU CANNABIS   SYND  DE SEVRAGE
F12.30;SYND SEVRAGE CANNABIS SANS COMPLIC
F12.31;SYND SEVRAGE CANNABIS +CONVULSIONS
F12.4;TBL  MENT  DUS A DERIVES DU CANNABIS   SYND  DE SEVR  + DELIRIUM
F12.40;SYND SEVRAGE CANNABIS +DÉLIRIUM SANS CONVULSION
F12.41;SYND SEVRAGE CANNABIS +DÉLIRIUM +CONVULSIONS
F12.5;TBL  MENT  DUS A DERIVES DU CANNABIS   TBL  PSYCHOT 
F12.50;TBL PSYCHOT ALLURE SCHIZOPHR DÛ CANNABIS
F12.51;TBL PSYCHOT +IDÉES DÉLIRES DÛ CANNABIS
F12.52;TBL PSYCHOT +HALLUCINATIONS DÛ CANNABIS
F12.53;TBL PSYCHOT +SYMPT POLYMORPHES DÛ CANNABIS
F12.54;TBL PSYCHOT +SYMPT DÉPRESSIFS DÛ CANNABIS
F12.55;TBL PSYCHOT +SYMPT MANIAQUES DÛ CANNABIS
F12.56;TBL PSYCHOT MIXTE DÛ CANNABIS
F12.6;TBL  MENT  DUS A DERIVES DU CANNABIS   SYND  AMNESIQUE
F12.7;TBL  MENT  DUS A DERIVES DU CANNABIS   TBL  RESIDUEL OU PSYCHOT 
F12.70;FLASHBACKS DUS CANNABIS
F12.71;TBL PERSO COMPORT RÉSIDUEL TARDIF DÛ CANNABIS
F12.72;TBL THYMIQUE RÉSIDUEL TARDIF DÛ CANNABIS
F12.73;DÉMENCE DUE CANNABIS
F12.74;AUTRE DÉFIC COGNITIF PERSISTANT TARDIF DÛ CANNABIS
F12.75;TBL PSYCHOT À DÉBUT TARDIF DÛ CANNABIS
F12.8;TBL  MENT  NCA  DUS A DERIVES DU CANNABIS
F12.9;TBL  MENT  SAI  DUS A DERIVES DU CANNABIS
F13.3;TBL  MENT  DUS A SEDATIFS  HYPNOT    SYND  DE SEVRAGE
F13.30;SYND SEVRAGE DES SÉDATIFS  HYPNOT SANS COMPLIC
F13.31;SYND SEVRAGE DES SÉDATIFS  HYPNOT +CONVULSIONS
F13.4;TBL  MENT  DUS A SEDATIFS  HYPNOT    SYND  DE SEVR  + DELIRIUM
F13.40;SYND SEVRAGE DES SÉDATIFS  HYPNOT +DÉLIRIUM SANS CONVULSION
F13.41;SYND SEVRAGE DES SÉDATIFS  HYPNOT +DÉLIRIUM +CONVULSIONS
F13.5;TBL  MENT  DUS A SEDATIFS  HYPNOT    TBL  PSYCHOT 
F13.50;TBL PSYCHOT ALLURE SCHIZOPHR DÛ AUX SÉDATIFS  HYPNOT
F13.51;TBL PSYCHOT +IDÉES DÉLIRES DÛ AUX SÉDATIFS  HYPNOT
F13.52;TBL PSYCHOT +HALLUCINATIONS DÛ AUX SÉDATIFS  HYPNOT
F13.53;TBL PSYCHOT +SYMPT POLYMORPHES DÛ AUX SÉDATIFS  HYPNOT
F13.54;TBL PSYCHOT +SYMPT DÉPRESSIFS DÛ AUX SÉDATIFS  HYPNOT
F13.55;TBL PSYCHOT +SYMPT MANIAQUES DÛ AUX SÉDATIFS  HYPNOT
