CMD;Liste;Libellé liste;Code;Libellé code
01;A-002;Craniotomies;AAFA001-00/0;Exérèse de tumeur intraparenchymateuse du cervelet  par craniotomie
01;A-002;Craniotomies;AAFA002-00/0;Exérèse de tumeur intraparenchymateuse du cerveau  par craniotomie
01;A-002;Craniotomies;AAFA003-00/0;Exérèse de lésion du tronc cérébral  par craniotomie
01;A-002;Craniotomies;AAFA004-00/0;Hémisphérectomie fonctionnelle  par craniotomie
01;A-002;Craniotomies;AAFA005-00/0;Exérèse de lésion du corps calleux  du fornix hypothalamique ou du septum pellucide  par craniotomie
01;A-002;Craniotomies;AAFA006-00/0;Résection de parenchyme cérébral pour infarctus expansif  par craniotomie
01;A-002;Craniotomies;AAFA007-00/0;Excision d une zone épileptogène  par craniotomie
01;A-002;Craniotomies;AAFA008-00/0;Résection de parenchyme cérébelleux pour infarctus expansif  par craniotomie
01;A-002;Craniotomies;AAGA900-00/0;Ablation d électrode corticale cérébrale  par craniotomie
01;A-002;Craniotomies;AAJA001-00/0;Évacuation de collection intracérébrale  par craniotomie
01;A-002;Craniotomies;AAJA002-00/0;Évacuation d hématome intracérébral traumatique [contusion]  par craniotomie
01;A-002;Craniotomies;AAJA003-00/0;Évacuation d hématome intracérébelleux  par craniotomie
01;A-002;Craniotomies;AAJA004-00/0;Évacuation d hématome intracérébral non traumatique  par craniotomie
01;A-002;Craniotomies;AAJA005-00/0;Évacuation de collection intracrânienne postopératoire  par reprise de la craniotomie précédente
01;A-002;Craniotomies;AAJA006-00/0;Parage de plaie craniocérébrale
01;A-002;Craniotomies;AAJH001-00/0;Évacuation de collection intracérébrale  par voie transcrânienne avec guidage scanographique
01;A-002;Craniotomies;AAJH002-00/0;Évacuation d hématome intracérébral non traumatique  par voie transcrânienne avec guidage scanographique
01;A-002;Craniotomies;AAJH003-00/0;Évacuation de collection intracérébrale  par voie transcrânienne avec guidage radiologique
01;A-002;Craniotomies;AAJH004-00/0;Évacuation d hématome intracérébral non traumatique  par voie transcrânienne avec guidage radiologique
01;A-002;Craniotomies;AALA002-00/0;Implantation d électrode subdurale pour enregistrement électrocorticographique  par craniotomie
01;A-002;Craniotomies;AALB002-00/0;Implantation d électrode intracérébrale pour enregistrement électroencéphalographique  par voie stéréotaxique
01;A-002;Craniotomies;AANB001-00/0;Destruction d une cible intracérébrale à visée fonctionnelle  par voie stéréotaxique
01;A-002;Craniotomies;AANB741-00/0;Destruction d une ou de plusieurs cible(s) intracérébrale(s) à visée fonctionnelle par thermothérapie interstitielle au laser [LITT] par voie stéréotaxique avec monitorage remnographique [IRM]
01;A-002;Craniotomies;AAPA900-00/0;Déconnexion d une zone épileptogène  par craniotomie
01;A-002;Craniotomies;ABCA001-00/0;Ventriculoventriculostomie  ventriculocisternostomie  kystocisternostomie ou kystoventriculostomie  par craniotomie
01;A-002;Craniotomies;ABCA002-00/0;Dérivation péritonéale ou atriale du liquide cérébrospinal ventriculaire  par abord direct
01;A-002;Craniotomies;ABCA003-00/0;Dérivation péritonéale d une collection subdurale du liquide cérébrospinal crânien  par abord direct
01;A-002;Craniotomies;ABCA004-00/0;Dérivation péritonéale ou atriale de kyste intracrânien  par abord direct
01;A-002;Craniotomies;ABCB001-00/0;Dérivation externe du liquide cérébrospinal ventriculaire ou subdural  par voie transcrânienne
01;A-002;Craniotomies;ABCC001-00/0;Ventriculoventriculostomie  ventriculocisternostomie  kystocisternostomie ou kystoventriculostomie  par vidéochirurgie intracrânienne
01;A-002;Craniotomies;ABFA001-00/0;Exérèse et ou fermeture de méningoencéphalocèle de la base du crâne  sans rapprochement orbitaire
01;A-002;Craniotomies;ABFA002-00/0;Exérèse de lésion du troisième ventricule  par craniotomie
01;A-002;Craniotomies;ABFA003-00/0;Exérèse et ou fermeture de méningoencéphalocèle de la voûte crânienne
01;A-002;Craniotomies;ABFA004-00/0;Exérèse et ou fermeture de méningoencéphalocèle de la base du crâne  avec rapprochement orbitaire
01;A-002;Craniotomies;ABFA005-00/0;Exérèse de lésion d un ventricule latéral cérébral  par craniotomie
01;A-002;Craniotomies;ABFA006-00/0;Exérèse de lésion du quatrième ventricule  par craniotomie
01;A-002;Craniotomies;ABFA007-00/0;Exérèse d une fistule dermique avec prolongement intradural occipital
01;A-002;Craniotomies;ABFA008-00/0;Exérèse de tumeur de la tente du cervelet  par craniotomie soustentorielle
01;A-002;Craniotomies;ABFA009-00/0;Exérèse de tumeur de l incisure de la tente  par craniotomie sustentorielle
01;A-002;Craniotomies;ABFA010-00/0;Exérèse de tumeur de la faux du cerveau  par craniotomie
01;A-002;Craniotomies;ABFC001-00/0;Exérèse de lésion du troisième ventricule  par vidéochirurgie intracrânienne
01;A-002;Craniotomies;ABFC002-00/0;Exérèse de lésion d un ventricule latéral cérébral  par vidéochirurgie intracrânienne
01;A-002;Craniotomies;ABGA001-00/0;Ablation d un capteur de pression intracrânienne
01;A-002;Craniotomies;ABGA003-00/0;Ablation d un système diffuseur implanté et du cathéter intraventriculaire ou intrakystique cérébral
01;A-002;Craniotomies;ABJA001-00/0;Évacuation d une hémorragie intraventriculaire cérébrale  par craniotomie
01;A-002;Craniotomies;ABJA002-00/0;Évacuation d un hématome subdural aigu  par craniotomie
01;A-002;Craniotomies;ABJA003-00/0;Évacuation d un hématome subdural chronique unilatéral  par craniotomie
01;A-002;Craniotomies;ABJA004-00/0;Évacuation d un hématome extradural infratentoriel  par craniotomie
01;A-002;Craniotomies;ABJA005-00/0;Évacuation d un hématome extradural supratentoriel  par craniotomie
01;A-002;Craniotomies;ABJA006-00/0;Évacuation d un hématome subdural chronique bilatéral  par craniotomie
01;A-002;Craniotomies;ABJA007-00/0;Évacuation d un hématome extradural plurifocal supratentoriel et ou infratentoriel  par craniotomie
01;A-002;Craniotomies;ABJA008-00/0;Évacuation d un empyème intracrânien extracérébral  par craniotomie
01;A-002;Craniotomies;ABJC900-00/0;Évacuation d une hémorragie intraventriculaire cérébrale non traumatique  par vidéochirurgie
01;A-002;Craniotomies;ABLA001-00/0;Pose d un cathéter intraventriculaire ou intrakystique cérébral par voie transcrânienne  avec pose d un système diffuseur ou d une pompe implantable souscutané
01;A-002;Craniotomies;ABLB001-00/0;Pose d un cathéter ventriculaire cérébral par voie transcrânienne  avec mesure instantanée de la pression intracrânienne et tests dynamiques
01;A-002;Craniotomies;ABLB002-00/0;Pose d un capteur ventriculaire de pression intracrânienne  par voie transcrânienne
01;A-002;Craniotomies;ABLB003-00/0;Pose d un capteur extraventriculaire de pression intracrânienne  par voie transcrânienne
01;A-002;Craniotomies;ABMA003-00/0;Révision ou changement d élément d une dérivation interne du liquide cérébrospinal  par craniotomie
01;A-002;Craniotomies;ABSA001-00/0;Fermeture d une brèche ostéodurale de l étage moyen de la base du crâne  par craniotomie
01;A-002;Craniotomies;ABSA002-00/0;Fermeture d une brèche ostéodurale de l étage moyen de la base du crâne  par abord translabyrinthique
01;A-002;Craniotomies;ABSA003-00/0;Fermeture d une brèche ostéodurale du sinus frontal  par abord coronal
01;A-002;Craniotomies;ABSA004-00/0;Fermeture d une brèche ostéodurale de l étage moyen de la base du crâne  par abord mastoïdoattical
01;A-002;Craniotomies;ABSA005-00/0;Fermeture d une brèche ostéodurale ou d une méningocèle de l étage antérieur de la base du crâne  par abord orbitaire
01;A-002;Craniotomies;ABSA006-00/0;Fermeture d une brèche ostéodurale de l étage moyen de la base du crâne  par abord suprapétreux
01;A-002;Craniotomies;ABSA007-00/0;Fermeture d une brèche ostéodurale ou d une méningocèle de l étage antérieur de la base du crâne  par craniotomie
01;A-002;Craniotomies;ABSA008-00/0;Fermeture d une fistule postopératoire de liquide cérébrospinal de la base du crâne
01;A-002;Craniotomies;ABSA009-00/0;Fermeture d une fistule de liquide cérébrospinal ou d une méningocèle postopératoire de la voûte crânienne  par craniotomie
01;A-002;Craniotomies;ABSA010-00/0;Fermeture d une brèche ostéodurale ou d une méningocèle de l étage antérieur de la base du crâne  par abord paralatéronasal
01;A-002;Craniotomies;ABSA011-00/0;Fermeture d une brèche ostéodurale ou d une méningocèle de l étage antérieur de la base du crâne  par abord nasosphénoïdal
01;A-002;Craniotomies;ABSA012-00/0;Fermeture d une brèche ostéodurale ou d une méningocèle de l étage antérieur de la base du crâne  par endoscopie
01;A-002;Craniotomies;ACFA001-00/0;Exérèse de tumeur de l étage antérieur de la base du crâne  par craniotomie frontale unilatérale
01;A-002;Craniotomies;ACFA002-00/0;Exérèse de tumeur extraparenchymateuse de la convexité du cerveau sans atteinte de sinus veineux dural  par craniotomie
01;A-002;Craniotomies;ACFA003-00/0;Exérèse de tumeur de la pointe du rocher  par abord translabyrinthique
01;A-002;Craniotomies;ACFA004-00/0;Exérèse de tumeur du clivus  par craniotomie
01;A-002;Craniotomies;ACFA005-00/0;Exérèse de tumeur de l angle pontocérébelleux et ou du méat acoustique interne [conduit auditif interne]  par abord rétrolabyrinthique présigmoïdien
01;A-002;Craniotomies;ACFA006-00/0;Exérèse de tumeur de la pointe du rocher sans déroutement du nerf facial  par abord transpétreux
01;A-002;Craniotomies;ACFA007-00/0;Exérèse de tumeur de l angle pontocérébelleux et ou du méat acoustique interne [conduit auditif interne]  par abord translabyrinthique
01;A-002;Craniotomies;ACFA008-00/0;Exérèse de tumeur extraparenchymateuse de la convexité du cervelet sans atteinte de sinus veineux dural  par craniotomie
01;A-002;Craniotomies;ACFA009-00/0;Exérèse de tumeur de la pointe du rocher  par abord suprapétreux
01;A-002;Craniotomies;ACFA010-00/0;Exérèse de tumeur de l angle pontocérébelleux et ou du méat acoustique interne [conduit auditif interne]  par abord infraoccipital rétrosigmoïdien
01;A-002;Craniotomies;ACFA011-00/0;Exérèse de tumeur de l étage moyen de la base du crâne  par craniotomie
01;A-002;Craniotomies;ACFA012-00/0;Exérèse de tumeur de l angle pontocérébelleux et ou du méat acoustique interne [conduit auditif interne]  par abord suprapétreux
01;A-002;Craniotomies;ACFA013-00/0;Exérèse de tumeur du tiers interne de l étage moyen de la base du crâne intéressant l angle sphénoorbitaire  par craniotomie
01;A-002;Craniotomies;ACFA014-00/0;Exérèse de tumeur de l angle pontocérébelleux et ou du méat acoustique interne [conduit auditif interne]  par deux abords
01;A-002;Craniotomies;ACFA015-00/0;Exérèse de tumeur de l étage antérieur de la base du crâne  par craniotomie frontale bilatérale
01;A-002;Craniotomies;ACFA016-00/0;Exérèse de tumeur de la région pétroclivale sans déroutement du nerf facial  par abord transpétreux
01;A-002;Craniotomies;ACFA018-00/0;Exérèse de tumeur extraparenchymateuse de la convexité du cervelet envahissant un sinus veineux dural  par craniotomie
01;A-002;Craniotomies;ACFA019-00/0;Exérèse de tumeur du foramen magnum avec déroutement de l artère vertébrale  par craniotomie
01;A-002;Craniotomies;ACFA020-00/0;Exérèse de tumeur du clivus  par abord transoral ou nasosphénoïdal
01;A-002;Craniotomies;ACFA022-00/0;Exérèse de tumeur de la région optochiasmatique et ou hypothalamique  par craniotomie
01;A-002;Craniotomies;ACFA023-00/0;Exérèse de tumeur du foramen jugulaire  par craniotomie
01;A-002;Craniotomies;ACFA024-00/0;Exérèse de tumeur du foramen magnum sans déroutement de l artère vertébrale  par craniotomie
01;A-002;Craniotomies;ACFA025-00/0;Exérèse de tumeur de la région pétroclivale avec déroutement du nerf facial  par abord transpétreux
01;A-002;Craniotomies;ACFA026-00/0;Exérèse de tumeur de l étage antérieur de la base du crâne  par craniotomie frontale bilatérale et abord ethmoïdal
01;A-002;Craniotomies;ACFA027-00/0;Exérèse de tumeur de l angle pontocérébelleux et ou du méat acoustique interne [conduit auditif interne]  par abord transotique
01;A-002;Craniotomies;ACFA028-00/0;Exérèse de tumeur extraparenchymateuse de la convexité du cerveau envahissant un sinus veineux dural  par craniotomie
01;A-002;Craniotomies;ACFA029-00/0;Exérèse de tumeur de la pointe du rocher avec déroutement du nerf facial  par abord transpétreux
01;A-002;Craniotomies;ACHA001-00/0;Biopsie de lésion de la base du crâne  par abord transoral ou nasosphénoïdal
01;A-002;Craniotomies;ACHA002-00/0;Biopsie de lésion intracrânienne  par craniotomie
01;A-002;Craniotomies;ACHA003-00/0;Biopsie de lésion de la base du crâne  par endoscopie buccale ou nasale
01;A-002;Craniotomies;ACHB001-00/0;Biopsie de lésion intracrânienne  par voie transcrânienne stéréotaxique
01;A-002;Craniotomies;ACHH001-00/0;Ponction ou cytoponction de lésion intracrânienne  par voie transcutanée avec guidage scanographique
01;A-002;Craniotomies;ACHJ001-00/0;Ponction ou cytoponction de lésion intracrânienne  par voie transcutanée avec guidage remnographique [IRM]
01;A-002;Craniotomies;ACPA001-00/0;Libération d un conflit vasculonerveux intracrânien  par craniotomie
01;A-002;Craniotomies;ACQC001-00/0;Exploration intracrânienne  par vidéochirurgie
01;A-002;Craniotomies;ADCA001-00/0;Déroutement et suture du nerf facial  par abord transmastoïdien
01;A-002;Craniotomies;ADCA003-00/0;Déroutement et suture du nerf facial  par abord suprapétreux
01;A-002;Craniotomies;ADCA006-00/0;Suture de plaie d un nerf crânien  par craniotomie
01;A-002;Craniotomies;ADCA007-00/0;Déroutement et suture du nerf facial  par abord translabyrinthique
01;A-002;Craniotomies;ADEA001-00/0;Autogreffe du nerf facial  par abord transmastoïdien
01;A-002;Craniotomies;ADEA003-00/0;Autogreffe du nerf facial avec déroutement  par abord translabyrinthique
01;A-002;Craniotomies;ADEA004-00/0;Autogreffe du nerf facial  par abord suprapétreux et ou par abord rétrosigmoïdien
01;A-002;Craniotomies;ADEA005-00/0;Autogreffe de nerf crânien  par craniotomie
01;A-002;Craniotomies;ADFA005-00/0;Exérèse de lésion extracrânienne d un nerf crânien sans réparation immédiate
01;A-002;Craniotomies;ADPA001-00/0;Décompression du nerf optique  par craniotomie
01;A-002;Craniotomies;ADPA005-00/0;Neurotomie vestibulaire  par abord translabyrinthique
01;A-002;Craniotomies;ADPA007-00/0;Neurotomie vestibulaire  par abord suprapétreux
01;A-002;Craniotomies;ADPA009-00/0;Section des nerfs pétreux  par abord suprapétreux
01;A-002;Craniotomies;ADPA010-00/0;Neurotomie vestibulaire  par abord rétrolabyrinthique
01;A-002;Craniotomies;ADPA011-00/0;Décompression du nerf facial  par abord suprapétreux
01;A-002;Craniotomies;ADPA012-00/0;Section du nerf ampullaire postérieur
01;A-002;Craniotomies;ADPA013-00/0;Section de nerf crânien  par abord infraoccipital rétrosigmoïdien
01;A-002;Craniotomies;ADPA017-00/0;Section du nerf tympanique [de Jacobson] dans le cavum tympanique
01;A-002;Craniotomies;ADPC900-00/0;Section de nerf crânien  par vidéochirurgie intracrânienne
01;A-002;Craniotomies;EABA001-00/0;Enrobage d un anévrisme artériel intracrânien  par craniotomie
01;A-002;Craniotomies;EACA001-00/0;Exclusion de fistule artérioveineuse de la faux du cerveau ou de la tente du cervelet  par craniotomie
01;A-002;Craniotomies;EACA002-00/0;Exclusion d anévrismes artériels intracrâniens multiples  par craniotomie unique
01;A-002;Craniotomies;EACA003-00/0;Exclusion d un anévrisme artériel intracrânien d un diamètre supérieur à 20 mm  par craniotomie
01;A-002;Craniotomies;EACA004-00/0;Exclusion d un anévrisme artériel vertébrobasilaire d un diamètre inférieur ou égal à 20 mm  par craniotomie
01;A-002;Craniotomies;EACA005-00/0;Exclusion de fistule artérioveineuse d un sinus veineux dural [fistule ostéodurale]  par craniotomie
01;A-002;Craniotomies;EACA006-00/0;Exclusion de fistule artérioveineuse durale de la convexité  par craniotomie
01;A-002;Craniotomies;EACA007-00/0;Exclusion d un anévrisme artériel supratentoriel d un diamètre inférieur ou égal à 20 mm  par craniotomie
01;A-002;Craniotomies;EAFA001-00/0;Embolectomie ou thromboendartériectomie de vaisseau intracrânien  par craniotomie
01;A-002;Craniotomies;EAFA002-00/0;Exérèse d une tumeur du glomus [corpuscule] tympanojugulaire par abord transpétreux  avec déroutement du nerf facial
01;A-002;Craniotomies;EAFA003-00/0;Exérèse de malformation artérioveineuse cérébrale superficielle supratentorielle d un diamètre inférieur ou égal à 30 mm  par craniotomie
01;A-002;Craniotomies;EAFA004-00/0;Exérèse d une tumeur du glomus [corpuscule] tympanojugulaire étendue à la fosse postérieure  par craniotomie
01;A-002;Craniotomies;EAFA005-00/0;Exérèse de malformation artérioveineuse encéphalique infratentorielle  par craniotomie
01;A-002;Craniotomies;EAFA006-00/0;Exérèse d une tumeur du glomus [corpuscule] tympanojugulaire par abord transpétreux  sans déroutement du nerf facial
