CMD;Liste;Libellé liste;Code;Libellé code
01;D-0101;Migraines et céphalées;F07.2;Syndrome post commotionnel
01;D-0101;Migraines et céphalées;G43.0;Migraine sans aura [migraine commune]
01;D-0101;Migraines et céphalées;G43.1;Migraine avec aura [migraine classique]
01;D-0101;Migraines et céphalées;G43.2;État de mal migraineux
01;D-0101;Migraines et céphalées;G43.3;Migraine compliquée
01;D-0101;Migraines et céphalées;G43.8;Autres migraines
01;D-0101;Migraines et céphalées;G43.9;Migraine  sans précision
01;D-0101;Migraines et céphalées;G44.0;Syndrome d algie vasculaire de la face
01;D-0101;Migraines et céphalées;G44.1;Céphalée vasculaire  non classée ailleurs
01;D-0101;Migraines et céphalées;G44.2;Céphalée dite de tension
01;D-0101;Migraines et céphalées;G44.3;Céphalée chronique post traumatique
01;D-0101;Migraines et céphalées;G44.4;Céphalée médicamenteuse  non classée ailleurs
01;D-0101;Migraines et céphalées;G44.8;Autres syndromes précisés d algies céphaliques
01;D-0101;Migraines et céphalées;G93.2;Hypertension intracrânienne bénigne
01;D-0101;Migraines et céphalées;G97.1;Autre réaction secondaire à une rachicentèse
01;D-0101;Migraines et céphalées;R51;Céphalée
01;D-0102;Convulsions hyperthermiques;R56.0;Convulsions fébriles
01;D-0103;Épilepsies;F80.3;Aphasie acquise avec épilepsie [Landau Kleffner]
01;D-0103;Épilepsies;G40.0;Épilepsie et syndromes épileptiques idiopathiques définis par leur localisation (focale  partielle) avec crises à début focal
01;D-0103;Épilepsies;G40.1;Épilepsie et syndromes épileptiques symptomatiques définis par leur localisation (focale  partielle) avec crises partielles simples
01;D-0103;Épilepsies;G40.2;Épilepsie et syndromes épileptiques symptomatiques définis par leur localisation (focale  partielle) avec des crises partielles complexes
01;D-0103;Épilepsies;G40.3;Épilepsie et syndromes épileptiques généralisés idiopathiques
01;D-0103;Épilepsies;G40.4;Autres épilepsies et syndromes épileptiques généralisés
01;D-0103;Épilepsies;G40.5;Syndromes épileptiques particuliers
01;D-0103;Épilepsies;G40.6;Crise de grand mal  sans précision (avec ou sans petit mal)
01;D-0103;Épilepsies;G40.7;Petit mal  sans crises de grand mal  sans précision
01;D-0103;Épilepsies;G40.8;Autres épilepsies
01;D-0103;Épilepsies;G40.9;Épilepsie  sans précision
01;D-0103;Épilepsies;G41.0;État de grand mal épileptique
01;D-0103;Épilepsies;G41.1;État de petit mal épileptique
01;D-0103;Épilepsies;G41.2;État de mal épileptique partiel complexe
01;D-0103;Épilepsies;G41.8;Autres états de mal épileptique
01;D-0103;Épilepsies;G41.9;État de mal épileptique  sans précision
01;D-0103;Épilepsies;R56.8;Convulsions  autres et non précisées
01;D-0104;Méningites virales;A87.0;Méningite à entérovirus (G02 0*)
01;D-0104;Méningites virales;A87.1;Méningite à adénovirus (G02 0*)
01;D-0104;Méningites virales;A87.2;Chorioméningite lymphocytaire
01;D-0104;Méningites virales;A87.8;Autres méningites virales
01;D-0104;Méningites virales;A87.9;Méningite virale  sans précision
01;D-0104;Méningites virales;A88.0;Fièvre exanthémateuse à entérovirus [exanthème de Boston]
01;D-0104;Méningites virales;A88.8;Autres infections virales précisées du système nerveux central
01;D-0104;Méningites virales;A89;Infection virale du système nerveux central  sans précision
01;D-0104;Méningites virales;B00.3;Méningite due au virus de l herpès (G02 0*)
01;D-0104;Méningites virales;B01.0;Méningite varicelleuse (G02 0*)
01;D-0104;Méningites virales;B02.1;Méningite zostérienne (G02 0*)
01;D-0104;Méningites virales;B05.1;Rougeole compliquée d une méningite (G02 0*)
01;D-0104;Méningites virales;B26.1;Méningite ourlienne (G02 0*)
01;D-0104;Méningites virales;G02.0;Méningite au cours d infections virales classées ailleurs
01;D-0104;Méningites virales;G03.0;Méningite à liquide clair
01;D-0104;Méningites virales;G03.9;Méningite  sans précision
01;D-0105;Infections du système nerveux sauf méningites virales;A06.6;Abcès amibien du cerveau (G07*)
01;D-0105;Infections du système nerveux sauf méningites virales;A17.0;Méningite tuberculeuse (G01*)
01;D-0105;Infections du système nerveux sauf méningites virales;A17.1;Tuberculome méningé (G07*)
01;D-0105;Infections du système nerveux sauf méningites virales;A17.8;Autres formes de tuberculose du système nerveux
01;D-0105;Infections du système nerveux sauf méningites virales;A17.9;Tuberculose du système nerveux  sans précision (G99 8*)
01;D-0105;Infections du système nerveux sauf méningites virales;A20.3;Peste méningée
01;D-0105;Infections du système nerveux sauf méningites virales;A32.1;Méningite et méningo encéphalite listériennes
