"",,Plus,,,,,CoCod,,,
"",Moins,de 69,,Niveau,,,si,CoCod,,
"",de 2,ou 79,GHM,de,,,durée,pour,AG et poids,
racine,ans,ans,courts,sévérité,Décès,CMA exclues,inf. à,accouch.,CMD14-15,Libellés
01C03,,,,1-4,,D-092;D-336,2,X,,"Craniotomies pour traumatisme, âge supérieur à 17 ans"
01C04,,,,1-4,,D-336,2,X,,"Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans"
01C05,,79(1),,1-4,,D-336,2,X,,Interventions sur le rachis et la moelle pour des affections neurologiques
01C06,,,,1-4,,D-336,2,X,,Interventions sur le système vasculaire précérébral
01C08,,,J,1-4,,D-336,,,,Interventions sur les nerfs crâniens ou périphériques et autres interventions sur le
"",,,,,,,,,,système nerveux
01C09,,,,1-4,,D-336,2,X,,Pose d'un stimulateur cérébral
01C10,,,J,1-4,,D-336,,X,,Pose d'un stimulateur médullaire
01C11,,,,1-4,,D-039;D-336,2,X,,"Craniotomies pour tumeurs, âge inférieur à 18 ans"
01C12,,,,1-4,,D-336,2,X,,"Craniotomies pour affections non tumorales, âge inférieur à 18 ans"
01C14,,,J,1-4,,D-336,,,,Libérations de nerfs superficiels à l'exception du médian au canal carpien
01C15,,,J,1-4,,D-336,,,,Libérations du médian au canal carpien
01K02,,79(1-3),,1-4,,D-337,1,,,Autres embolisations intracrâniennes et médullaires
01K03,,,,1-4,,D-337,1,,,Autres actes thérapeutiques par voie vasculaire du système nerveux
01K04,,,J,,,,,,,"Injections de toxine botulique, en ambulatoire"
01K05,,,J,,,,,,,Séjours pour douleurs chroniques rebelles comprenant un bloc ou une
"",,,,,,,,,,"infiltration, en ambulatoire"
01K06,,,J,,,,,,,"Affections du système nerveux sans acte opératoire avec anesthésie, en"
"",,,,,,,,,,ambulatoire
01K07,,79(1),,1-4,,D-337,3,X,,Embolisations intracrâniennes et médullaires pour hémorragie
01M04,,69(1-2),T1,1-4,,D-338,,,,Méningites virales
01M05,,69(1-2),T0,1-4,,D-338,,,,Infections du système nerveux à l'exception des méningites virales
01M07,,,T0,1-4,,D-338,,,,"Maladies dégénératives du système nerveux, âge supérieur à 79 ans"
01M08,,,T0,1-4,,D-338,,,,"Maladies dégénératives du système nerveux, âge inférieur à 80 ans"
01M09,,79(1-2),T0,1-4,,D-338,,,,Affections et lésions du rachis et de la moelle
"",,Plus,,,,,CoCod,,,
"",Moins,de 69,,Niveau,,,si,CoCod,,
"",de 2,ou 79,GHM,de,,,durée,pour,AG et poids,
racine,ans,ans,courts,sévérité,Décès,CMA exclues,inf. à,accouch.,CMD14-15,Libellés
01M10,,,T0,1-4,,D-338,,,,Autres affections cérébrovasculaires
01M11,,,T1,1-4,,D-338,,,,Affections des nerfs crâniens et rachidiens
01M12,,79(1),T1,1-4,,D-338,,,,Autres affections du système nerveux
01M13,,,,1-4,,D-338,,X,,Troubles de la conscience et comas d'origine non traumatique
01M15,,,T2,1-4,,D-338,,,,"Accidents ischémiques transitoires et occlusions des artères précérébrales, âge"
"",,,,,,,,,,supérieur à 79 ans
01M16,,,T2,1-4,,D-338,,,,"Accidents ischémiques transitoires et occlusions des artères précérébrales, âge"
"",,,,,,,,,,inférieur à 80 ans
01M17,,69(1-2),T0,1-4,,D-338,,,,Sclérose en plaques et ataxie cérébelleuse
01M18,,,T1,1-4,,D-124;D-338,,X,,Lésions traumatiques intracrâniennes sévères
01M19,,,,1-4,,D-125;D-338,,X,,"Autres lésions traumatiques intracrâniennes, sauf commotions"
