"",,Liste,Liste,
CMA,niv,diag,racine,Libellé
A00.0,2,674,-,"CHOLERA A VIBRIO CHOLERAE 01, BIOVAR CHOLERAE"
A00.1,2,674,-,"CHOLERA A VIBRIO CHOLERAE 01, BIOVAR EL TOR"
A00.9,2,674,-,"CHOLERA, SAI"
A01.0,2,674,-,FIEVRE TYPHOIDE
A01.1,2,674,-,PARATYPHOIDE A
A01.2,2,674,-,PARATYPHOIDE B
A01.3,2,674,-,PARATYPHOIDE C
A01.4,2,674,-,"PARATYPHOIDE, SAI"
A02.0,2,674,-,ENTERITE A SALMONELLA
A02.1,3,319,-,SEPSIS A SALMONELLA
A02.2,2,674,-,INFECT. LOC. A SALMONELLA
A02.8,2,674,-,"INFECT. PREC. A SALMONELLA, NCA"
A02.9,2,674,-,"SALMONELLOSE, SAI"
A03.0,2,674,-,SHIGELLOSE A SHIGELLA DYSENTERIAE
A03.1,2,674,-,SHIGELLOSE A SHIGELLA FLEXNERI
A03.2,2,674,-,SHIGELLOSE A SHIGELLA BOYDII
A03.3,2,674,-,SHIGELLOSE A SHIGELLA SONNEI
A03.8,2,674,-,"SHIGELLOSES, NCA"
A03.9,2,674,-,"SHIGELLOSE, SAI"
A04.0,2,12,-,INFECT. ENTEROPATHOGENE A ESCHERICHIA COLI
A04.1,2,12,-,INFECT. ENTEROTOXIGENE A ESCHERICHIA COLI
A04.2,2,12,-,INFECT. ENTERO-INVASIVE A ESCHERICHIA COLI
A04.3,2,767,-,INFECT. ENTERO-HEMORR. A ESCHERICHIA COLI
A04.4,2,219,-,"INFECT. INTEST. A ESCHERICHIA COLI, NCA"
A04.5,2,219,-,ENTERITE A CAMPYLOBACTER
A04.6,2,12,-,ENTERITE A YERSINIA ENTEROCOLITICA
A04.7,4,495,-,ENTEROCOLITE A CLOSTRIDIUM DIFFICILE
A05.1,4,228,-,BOTULISME
A05.2,3,674,-,INTOX. ALIMENTAIRE A CLOSTRIDIUM PERFRINGENS
A06.0,2,393,-,DYSENTERIE AMIBIENNE
CMA,niv,"Listediag","Listeracine",Libellé
A06.1,2,393,-,AMIBIASE INTEST. CHRON.
A06.2,2,393,-,COLITE AMIBIENNE NON DYSENTERIQUE
A06.3,2,393,-,AMOEBOME
A06.4,2,654,-,ABCES AMIBIEN DU FOIE
A06.5,2,509,-,ABCÈS AMIBIEN DU POUMON
A06.6,4,70,-,ABCES AMIBIEN DU CERVEAU
A06.7,2,899,-,AMIBIASE CUTANEE
A06.8,2,674,-,"LOC. D'UNE INFECT. AMIBIENNE, NCA"
A06.9,2,148,-,"AMIBIASE, SAI"
A07.0,2,674,-,BALANTIDIOSE
A07.1,2,674,-,GIARDIASE
A07.2,2,674,-,CRYPTOSPORIDIOSE
A07.3,2,674,-,INFECT. A ISOSPORA
A07.8,2,674,-,"MAL. INTEST. PREC., A PROTOZOAIRES, NCA"
A07.9,2,674,-,"MAL. INTEST. A PROTOZOAIRES, SAI"
A08.0,2,922,-,ENTERITE A ROTAVIRUS
A08.1,2,922,-,GASTROENTÉROPATHIE AIGÜE DUE À UN NOROVIRUS
A08.2,2,922,-,ENTERITE A ADENOVIRUS
A08.3,2,922,-,"ENTERITES VIRALES, NCA"
A08.5,2,922,-,"INFECT. INTEST. PREC., NCA"
A09.0,2,239,-,GASTROENTERITE COLITE INFECT. NCA/SAI
A15.0,4,287,-,"TUBERC. PULM., CONFIRM. PAR EX. MICRO. DE L'EXPECTORATION"
A15.1,2,287,-,"TUBERC. PULM., CONFIRM. PAR CULTURE SEULEMENT"
A15.2,2,287,-,"TUBERC. PULM., AVEC CONFIRM. HISTO."
A15.3,2,287,-,"TUBERC. PULM., AVEC CONFIRM., MOYEN SAI"
A15.4,2,287,-,"TUBERC. DES GGL. INTRATHOR., AVEC CONFIRM."
A15.5,2,287,-,"TUBERC. DU LARYNX, DE LA TRACHEE ET DES BRONCHES, AVEC CONFIRM."
A15.6,2,287,-,"PLEURESIE TUBERC., AVEC CONFIRM."
A15.7,2,287,-,"PRIMO-INFECT. TUBERC. DE L'APP. RESP., AVEC CONFIRM."
A15.8,2,287,-,"TUBERC. DE L'APP. RESP. NCA, AVEC CONFIRM."
A15.9,2,287,-,"TUBERC. DE L'APP. RESP. SAI, AVEC CONFIRM."
A16.0,2,287,-,"TUBERC. PULM., AVEC EX. BACTERIO. ET HISTO. NEGATIFS"
A16.1,2,287,-,"TUBERC. PULM., SANS EX. BACTERIO. ET HISTO."
A16.2,2,287,-,TUBERC. PULM.
A16.3,2,287,-,TUBERC. DES GGL. INTRATHOR.
A16.4,2,287,-,"TUBERC. DU LARYNX, DE LA TRACHEE ET DES BRONCHES"
A16.5,2,287,-,PLEURESIE TUBERC.
A16.7,2,287,-,PRIMO-INFECT. TUBERC. DE L'APP. RESP.
A16.8,2,287,-,"TUBERC. DE L'APP. RESP., NCA"
A16.9,2,287,-,TUBERC. DE L'APP. RESP. SAI
A17.0,3,282,-,MENINGITE TUBERC.
A17.1,3,282,-,TUBERCULOME MENINGE
"",niv,"Listediag","Listeracine",Libellé
A06.1,2,393,-,AMIBIASE INTEST. CHRON.
A06.2,2,393,-,COLITE AMIBIENNE NON DYSENTERIQUE
A06.3,2,393,-,AMOEBOME
A06.4,2,654,-,ABCES AMIBIEN DU FOIE
A06.5,2,509,-,ABCÈS AMIBIEN DU POUMON
A06.6,4,70,-,ABCES AMIBIEN DU CERVEAU
A06.7,2,899,-,AMIBIASE CUTANEE
A06.8,2,674,-,"LOC. D'UNE INFECT. AMIBIENNE, NCA"
A06.9,2,148,-,"AMIBIASE, SAI"
A07.0,2,674,-,BALANTIDIOSE
A07.1,2,674,-,GIARDIASE
A07.2,2,674,-,CRYPTOSPORIDIOSE
A07.3,2,674,-,INFECT. A ISOSPORA
A07.8,2,674,-,"MAL. INTEST. PREC., A PROTOZOAIRES, NCA"
A07.9,2,674,-,"MAL. INTEST. A PROTOZOAIRES, SAI"
A08.0,2,922,-,ENTERITE A ROTAVIRUS
A08.1,2,922,-,GASTROENTÉROPATHIE AIGÜE DUE À UN NOROVIRUS
A08.2,2,922,-,ENTERITE A ADENOVIRUS
A08.3,2,922,-,"ENTERITES VIRALES, NCA"
A08.5,2,922,-,"INFECT. INTEST. PREC., NCA"
A09.0,2,239,-,GASTROENTERITE COLITE INFECT. NCA/SAI
A15.0,4,287,-,"TUBERC. PULM., CONFIRM. PAR EX. MICRO. DE L'EXPECTORATION"
A15.1,2,287,-,"TUBERC. PULM., CONFIRM. PAR CULTURE SEULEMENT"
A15.2,2,287,-,"TUBERC. PULM., AVEC CONFIRM. HISTO."
A15.3,2,287,-,"TUBERC. PULM., AVEC CONFIRM., MOYEN SAI"
A15.4,2,287,-,"TUBERC. DES GGL. INTRATHOR., AVEC CONFIRM."
A15.5,2,287,-,"TUBERC. DU LARYNX, DE LA TRACHEE ET DES BRONCHES, AVEC CONFIRM."
A15.6,2,287,-,"PLEURESIE TUBERC., AVEC CONFIRM."
A15.7,2,287,-,"PRIMO-INFECT. TUBERC. DE L'APP. RESP., AVEC CONFIRM."
A15.8,2,287,-,"TUBERC. DE L'APP. RESP. NCA, AVEC CONFIRM."
A15.9,2,287,-,"TUBERC. DE L'APP. RESP. SAI, AVEC CONFIRM."
A16.0,2,287,-,"TUBERC. PULM., AVEC EX. BACTERIO. ET HISTO. NEGATIFS"
A16.1,2,287,-,"TUBERC. PULM., SANS EX. BACTERIO. ET HISTO."
A16.2,2,287,-,TUBERC. PULM.
A16.3,2,287,-,TUBERC. DES GGL. INTRATHOR.
A16.4,2,287,-,"TUBERC. DU LARYNX, DE LA TRACHEE ET DES BRONCHES"
A16.5,2,287,-,PLEURESIE TUBERC.
A16.7,2,287,-,PRIMO-INFECT. TUBERC. DE L'APP. RESP.
A16.8,2,287,-,"TUBERC. DE L'APP. RESP., NCA"
A16.9,2,287,-,TUBERC. DE L'APP. RESP. SAI
A17.0,3,282,-,MENINGITE TUBERC.
A17.1,3,282,-,TUBERCULOME MENINGE
A07.2,2,674,-,CRYPTOSPORIDIOSE
A07.3,2,674,-,INFECT. A ISOSPORA
